station_id,date,hour,day_of_week,previous_hour_passengers,previous_day_average,weather,holiday,event,train_frequency,occupancy,future_crowd_level,future_passenger_count,recommended_train_frequency,congestion_probability
DEL018,2024-10-01,5,Tuesday,7577,7577.0,Cloudy,0,None,6,42,Low,12245,12,0.06
DEL018,2024-10-01,6,Tuesday,7577,12245.0,Cloudy,0,None,5,70,Medium,17259,8,0.247
DEL018,2024-10-01,7,Tuesday,12245,17259.0,Cloudy,0,None,6,105,Medium,22241,8,0.217
DEL018,2024-10-01,8,Tuesday,17259,22241.0,Cloudy,0,None,2,101,Medium,22711,8,0.272
DEL018,2024-10-01,9,Tuesday,22241,22711.0,Cloudy,0,None,3,109,Medium,16522,8,0.273
DEL018,2024-10-01,10,Tuesday,22711,16522.0,Cloudy,0,None,2,105,Low,14160,12,0.053
DEL018,2024-10-01,11,Tuesday,16522,14160.0,Cloudy,0,None,4,70,Medium,15750,8,0.246
DEL018,2024-10-01,12,Tuesday,14160,15750.0,Cloudy,0,None,5,81,Medium,17492,8,0.261
DEL018,2024-10-01,13,Tuesday,15750,17492.0,Cloudy,0,None,5,91,Medium,16913,8,0.243
DEL018,2024-10-01,14,Tuesday,17492,16913.0,Cloudy,0,None,5,89,Low,13275,12,0.068
DEL018,2024-10-01,15,Tuesday,16913,13275.0,Cloudy,0,None,6,77,Medium,17236,8,0.26
DEL018,2024-10-01,16,Tuesday,13275,17236.0,Cloudy,0,None,5,82,Medium,18350,8,0.304
DEL018,2024-10-01,17,Tuesday,17236,18350.0,Cloudy,0,None,4,102,Medium,19691,8,0.244
DEL018,2024-10-01,18,Tuesday,18350,19691.0,Cloudy,0,None,2,94,Medium,23479,8,0.298
DEL018,2024-10-01,19,Tuesday,19691,23479.0,Cloudy,0,None,2,109,Medium,15185,8,0.228
DEL018,2024-10-01,20,Tuesday,23479,15185.0,Cloudy,0,None,3,89,Low,12718,12,0.109
DEL018,2024-10-01,21,Tuesday,15185,12718.0,Cloudy,0,None,4,86,Low,11598,12,0.072
DEL018,2024-10-01,22,Tuesday,12718,11598.0,Cloudy,0,None,4,59,Low,10407,12,0.063
DEL018,2024-10-01,23,Tuesday,11598,10407.0,Cloudy,0,None,5,63,Low,10407,12,0.099
DEL018,2024-10-02,5,Wednesday,6882,16042.6,Clear,1,None,6,47,Low,11272,12,0.1
DEL018,2024-10-02,6,Wednesday,6882,16042.6,Clear,1,None,5,62,Medium,16896,8,0.248
DEL018,2024-10-02,7,Wednesday,11272,16042.6,Clear,1,None,4,95,Low,14232,12,0.036
DEL018,2024-10-02,8,Wednesday,16896,16042.6,Clear,1,None,3,127,Medium,19332,8,0.275
DEL018,2024-10-02,9,Wednesday,14232,16042.6,Clear,1,None,3,128,Medium,14647,8,0.225
DEL018,2024-10-02,10,Wednesday,19332,16042.6,Clear,1,None,3,88,Low,13907,12,0.022
DEL018,2024-10-02,11,Wednesday,14647,16042.6,Clear,1,None,4,89,Low,11244,12,0.094
DEL018,2024-10-02,12,Wednesday,13907,16042.6,Clear,1,None,4,99,Low,12965,12,0.061
DEL018,2024-10-02,13,Wednesday,11244,16042.6,Clear,1,None,6,80,Low,13265,12,0.083
DEL018,2024-10-02,14,Wednesday,12965,16042.6,Clear,1,None,5,90,Low,14457,12,0.066
DEL018,2024-10-02,15,Wednesday,13265,16042.6,Clear,1,None,6,80,Low,12722,12,0.011
DEL018,2024-10-02,16,Wednesday,14457,16042.6,Clear,1,None,5,91,Medium,17332,8,0.281
DEL018,2024-10-02,17,Wednesday,12722,16042.6,Clear,1,None,6,102,Medium,15403,8,0.268
DEL018,2024-10-02,18,Wednesday,17332,16042.6,Clear,1,None,3,108,Medium,18152,8,0.274
DEL018,2024-10-02,19,Wednesday,15403,16042.6,Clear,1,None,3,109,Medium,16294,8,0.262
