record_id,date,time,station_id,entry_count,exit_count,total_passengers,peak_hour_flag,weekday,holiday_flag,weather_condition,event_near_station,crowd_density_level
PF0000001,2024-10-01,05:00,DEL018,3788,3789,7577,0,Tuesday,0,Cloudy,None,Low
PF0000002,2024-10-01,06:00,DEL018,6122,6123,12245,0,Tuesday,0,Cloudy,None,Low
PF0000003,2024-10-01,07:00,DEL018,8630,8629,17259,0,Tuesday,0,Cloudy,None,Medium
PF0000004,2024-10-01,08:00,DEL018,11120,11121,22241,1,Tuesday,0,Cloudy,None,Medium
PF0000005,2024-10-01,09:00,DEL018,11356,11355,22711,1,Tuesday,0,Cloudy,None,Medium
PF0000006,2024-10-01,10:00,DEL018,8261,8261,16522,1,Tuesday,0,Cloudy,None,Medium
PF0000007,2024-10-01,11:00,DEL018,7080,7080,14160,0,Tuesday,0,Cloudy,None,Low
PF0000008,2024-10-01,12:00,DEL018,7875,7875,15750,0,Tuesday,0,Cloudy,None,Medium
PF0000009,2024-10-01,13:00,DEL018,8746,8746,17492,0,Tuesday,0,Cloudy,None,Medium
PF0000010,2024-10-01,14:00,DEL018,8456,8457,16913,0,Tuesday,0,Cloudy,None,Medium
PF0000011,2024-10-01,15:00,DEL018,6638,6637,13275,0,Tuesday,0,Cloudy,None,Low
PF0000012,2024-10-01,16:00,DEL018,8618,8618,17236,0,Tuesday,0,Cloudy,None,Medium
PF0000013,2024-10-01,17:00,DEL018,9175,9175,18350,0,Tuesday,0,Cloudy,None,Medium
PF0000014,2024-10-01,18:00,DEL018,9846,9845,19691,1,Tuesday,0,Cloudy,None,Medium
PF0000015,2024-10-01,19:00,DEL018,11740,11739,23479,1,Tuesday,0,Cloudy,None,Medium
PF0000016,2024-10-01,20:00,DEL018,7592,7593,15185,1,Tuesday,0,Cloudy,None,Medium
PF0000017,2024-10-01,21:00,DEL018,6359,6359,12718,0,Tuesday,0,Cloudy,None,Low
PF0000018,2024-10-01,22:00,DEL018,5799,5799,11598,0,Tuesday,0,Cloudy,None,Low
PF0000019,2024-10-01,23:00,DEL018,5204,5203,10407,0,Tuesday,0,Cloudy,None,Low
PF0000020,2024-10-02,05:00,DEL018,3441,3441,6882,0,Wednesday,1,Clear,None,Low
PF0000021,2024-10-02,06:00,DEL018,5636,5636,11272,0,Wednesday,1,Clear,None,Low
PF0000022,2024-10-02,07:00,DEL018,8448,8448,16896,0,Wednesday,1,Clear,None,Medium
PF0000023,2024-10-02,08:00,DEL018,7116,7116,14232,1,Wednesday,1,Clear,None,Low
PF0000024,2024-10-02,09:00,DEL018,9666,9666,19332,1,Wednesday,1,Clear,None,Medium
PF0000025,2024-10-02,10:00,DEL018,7324,7323,14647,1,Wednesday,1,Clear,None,Medium
PF0000026,2024-10-02,11:00,DEL018,6954,6953,13907,0,Wednesday,1,Clear,None,Low
PF0000027,2024-10-02,12:00,DEL018,5622,5622,11244,0,Wednesday,1,Clear,None,Low
PF0000028,2024-10-02,13:00,DEL018,6482,6483,12965,0,Wednesday,1,Clear,None,Low
PF0000029,2024-10-02,14:00,DEL018,6632,6633,13265,0,Wednesday,1,Clear,None,Low
PF0000030,2024-10-02,15:00,DEL018,7228,7229,14457,0,Wednesday,1,Clear,None,Low
